Disease,Symptoms
Asthma attack,Symptoms of asthma attacks may include: Shortness of breath Chest tightness or pain Coughing Wheezing Severe symptoms also may include: Gasping for breath Difficulty speaking because of shortness of breath Straining of chest muscles to breathe Worse symptoms when lying on the back Severe sweating The result of an at-home test called a peak flow meter can be an important sign of an asthma attack This device measures how quickly you can force air out of your lungs Peak flow readings are usually a percentage of how your lungs work at their best This is called your personal best peak flow An asthma action plan often includes steps to take based on a peak flow reading A reading below 80% of a best peak flow can be a sign of an asthma attack
Astigmatism,Symptoms Signs and symptoms of astigmatism may include: Blurred or distorted vision Eyestrain or discomfort Headaches Difficulty with night vision Squinting
Astrocytoma,
Ataxia,Ataxia symptoms can develop over time or start suddenly Ataxia can be a symptom of several nervous system conditions Symptoms may include: Poor coordination Walking unsteadily or with the feet set wide apart Poor balance Trouble with fine motor tasks such as eating writing or buttoning a shirt Changes in speech Back-and-forth eye movements that can't be controlled Trouble swallowing
Atelectasis,There may be no clear signs of atelectasis If you have any signs they may include: Having a hard time breathing Rapid weak breathing Wheezing Coughing
Athlete's foot,Athlete's foot Enlarge image Close Athlete's foot Athlete's foot Illustration of athlete’s foot on different skin colors The fungal infection causes scaly rash that may itch sting or burn Athlete's foot can affect one or both feet Common signs and symptoms are: Scaly peeling or cracked skin between the toes Itchiness especially right after taking off shoes and socks Inflamed skin that might appear reddish purplish or grayish depending on your skin color Burning or stinging Blisters Dry scaly skin on the bottom of the foot that extends up the side
Atopic dermatitis (eczema),Atopic dermatitis on the chest Enlarge image Close Atopic dermatitis on the chest Atopic dermatitis on the chest Inflammation caused by atopic dermatitis can cover large areas of the body such as the chest or be limited to a few small spots Infantile eczema Enlarge image Close Infantile eczema Infantile eczema Atopic dermatitis in infants (infantile eczema) appears here as red itchy patches on very dry skin Atopic dermatitis (eczema) symptoms can appear anywhere on the body and vary widely from person to person They may include: Dry cracked skin Itchiness (pruritus) Rash on swollen skin that varies in color depending on your skin color Small raised bumps on brown or Black skin Oozing and crusting Thickened skin Darkening of the skin around the eyes Raw sensitive skin from scratching Atopic dermatitis often begins before age 5 and may continue into the teen and adult years For some people it flares and then clears up for a time even for several years
Atrial fibrillation,Symptoms of AFib may include: Feelings of a fast fluttering or pounding heartbeat called palpitations Chest pain Dizziness Fatigue Lightheadedness Reduced ability to exercise Shortness of breath Weakness Some people with atrial fibrillation (AFib) don't notice any symptoms Atrial fibrillation may be: Occasional also called paroxysmal atrial fibrillation AFib symptoms come and go The symptoms usually last for a few minutes to hours Some people have symptoms for as long as a week The episodes can happen repeatedly Symptoms might go away on their own Some people with occasional AFib need treatment Persistent The irregular heartbeat is constant The heart rhythm does not reset on its own If symptoms occur medical treatment is needed to correct the heart rhythm Long-standing persistent This type of AFib is constant and lasts longer than 12 months Medicines or a procedure are needed to correct the irregular heartbeat Permanent In this type of atrial fibrillation the irregular heart rhythm can't be reset Medicines are needed to control the heart rate and to prevent blood clots
Atrial flutter,People with atrial flutter may not have symptoms The irregular heartbeat may be found during a health checkup for another reason If atrial flutter symptoms happen they may include: A pounding or racing feeling in the chest Chest pain Fainting or almost fainting Shortness of breath Feeling very tired
Atrial septal defect (ASD),A baby born with an atrial septal defect (ASD) may not have symptoms Symptoms may begin in adulthood Atrial septal defect symptoms may include: Shortness of breath especially when exercising Tiredness especially with activity Swelling of the legs feet or belly area Irregular heartbeats also called arrhythmias Skipped heartbeats or feelings of a quick pounding or fluttering heartbeat called palpitations
Atrial tachycardia,
Atrioventricular canal defect,Symptoms Atrioventricular canal defect can involve only the two upper chambers of the heart or all four chambers In both types extra blood flows into the lungs Symptoms depend on whether the defect is partial or complete Complete defect The condition affects all of the heart's chambers Symptoms of a complete atrioventricular canal defect usually develop in the first weeks of life Symptoms are generally similar to those of heart failure They may include: Blue or gray skin color due to low oxygen levels Difficulty breathing or rapid breathing Excessive sweating Fatigue Irregular or rapid heartbeat Lack of appetite Poor weight gain Swelling in the legs ankles and feet Wheezing Partial defect The condition affects only the two upper heart chambers Symptoms of a partial atrioventricular canal defect may not appear until early adulthood The symptoms may be due to complications such as heart valve problems high blood pressure in the lungs or heart failure Symptoms may include: Fatigue and weakness Nausea and lack of appetite Persistent cough or wheezing Rapid or irregular heartbeat also called an arrhythmia Reduced ability to exercise Shortness of breath Swelling in the legs ankles and feet Chest pressure or pain
Atrioventricular nodal reentry tachycardia (AVNRT),
Attention-deficit/hyperactivity disorder (ADHD) in children,The primary features of ADHD include inattention and hyperactive-impulsive behavior ADHD symptoms start before age 12 and in some children they're noticeable as early as 3 years of age ADHD symptoms can be mild moderate or severe and they may continue into adulthood ADHD occurs more often in males than in females and behaviors can be different in boys and girls For example boys may be more hyperactive and girls may tend to be quietly inattentive There are three subtypes of ADHD: Predominantly inattentive The majority of symptoms fall under inattention Predominantly hyperactive/impulsive The majority of symptoms are hyperactive and impulsive Combined This is a mix of inattentive symptoms and hyperactive/impulsive symptoms
Atypical hyperplasia of the breast,Atypical hyperplasia of the breast usually doesn't cause any symptoms Atypical hyperplasia of the breast is typically found during a breast biopsy A breast biopsy is a procedure to remove some breast cells for testing It's often recommended if something concerning is found on a mammogram or an ultrasound A biopsy also might be done to investigate a breast concern such as a lump
Auditory processing disorder,Symptoms of auditory processing disorder (APD) can be subtle Symptoms can include having trouble with: Telling where sound is coming from Understanding words that are spoken quickly or in a noisy room Paying attention Reading and spelling Following directions unless they are short and simple Learning a new language Singing or enjoying music Understanding and remembering spoken information If you have APD you also might: Take longer to reply to someone who is talking to you Often need others to repeat themselves Not understand sarcasm or jokes APD is often seen with attention language and learning issues like those seen in attention-deficit/hyperactivity disorder or ADHD
Autism spectrum disorder,Some children show signs of autism spectrum disorder in early infancy such as reduced eye contact lack of response to their name or indifference to caregivers Other children may develop normally for the first few months or years of life but then suddenly become withdrawn or aggressive or lose language skills they've already acquired Signs usually are seen by age 2 years Each child with autism spectrum disorder is likely to have a unique pattern of behavior and level of severity — from low functioning to high functioning Some children with autism spectrum disorder have difficulty learning and some have signs of lower than normal intelligence Other children with the disorder have normal to high intelligence — they learn quickly yet have trouble communicating and applying what they know in everyday life and adjusting to social situations Because of the unique mixture of symptoms in each child severity can sometimes be difficult to determine It's generally based on the level of impairments and how they impact the ability to function Below are some common signs shown by people who have autism spectrum disorder
Autoimmune hepatitis,Symptoms of autoimmune hepatitis vary from person to person and may come on suddenly Some people have few if any recognized problems in the early stages of the disease whereas others experience symptoms that may include: Fatigue Belly discomfort Yellowing of the skin and whites of the eyes called jaundice Depending on skin color this change may be harder or easier to see An enlarged liver Irregular blood vessels on the skin called spider angiomas Skin rash Joint pain Loss of menstrual periods
Autoimmune pancreatitis,Autoimmune pancreatitis also called AIP is difficult to diagnose Often it doesn't cause any symptoms Symptoms of type 1 AIP are like those of pancreatic cancer Pancreatic cancer symptoms can include: Dark urine Pale stools or stools that float in the toilet Yellow skin and eyes called jaundice Pain in your upper belly or middle part of your back Nausea and vomiting Weakness or extreme tiredness Loss of appetite or feelings of fullness Weight loss for no known reason The most common sign of type 1 AIP is painless jaundice About 80% of people with type 1 AIP have painless jaundice This is caused by blocked bile ducts People with type 2 AIP can have repeat episodes of acute pancreatitis Pain in the upper abdomen a common symptom of pancreatic cancer is often absent in autoimmune pancreatitis Differences between type 1 and type 2 AIP are: In type 1 AIP the disease may affect other organs in addition to the pancreas Type 2 AIP affects only the pancreas Type 2 disease also is associated with another autoimmune condition called inflammatory bowel disease Type 1 AIP mostly affects men in the sixth to seventh decade of life Type 2 AIP affects both men and women equally and has a younger age of onset compared with type 1 AIP Type 1 AIP is more likely to relapse after treatment is discontinued
Autonomic neuropathy,Symptoms Signs and symptoms of autonomic neuropathy depend on which nerves are damaged They might include: Dizziness and fainting when standing caused by a sudden drop in blood pressure Urinary problems such as difficulty starting urination loss of bladder control difficulty sensing a full bladder and inability to completely empty the bladder Not being able to completely empty the bladder can lead to urinary tract infections Sexual difficulties including problems achieving or maintaining an erection (erectile dysfunction) or ejaculation problems In women problems include vaginal dryness low libido and difficulty reaching orgasm Difficulty digesting food such as feeling full after a few bites of food loss of appetite diarrhea constipation abdominal bloating nausea vomiting difficulty swallowing and heartburn These problems are all due to changes in digestive function Inability to recognize low blood sugar (hypoglycemia) because the warning signals such as getting shaky aren't there Sweating problems such as sweating too much or too little These problems affect the ability to regulate body temperature Sluggish pupil reaction making it difficult to adjust from light to dark and seeing well when driving at night Exercise intolerance which can occur if your heart rate stays the same instead of adjusting to your activity level
Avascular necrosis (osteonecrosis),Symptoms Some people have no symptoms in the early stages of avascular necrosis As the condition worsens affected joints might hurt only when putting weight on them Eventually you might feel the pain even when you're lying down Pain can be mild or severe It usually develops gradually Pain associated with avascular necrosis of the hip might center on the groin thigh or buttock Besides the hip the shoulder knee hand and foot can be affected Some people develop avascular necrosis on both sides such as in both hips or in both knees
Baby acne,Symptoms Baby acne is small inflamed bumps on a baby's face neck back or chest It often develops within 2 to 4 weeks of birth Many babies also develop tiny pimple-like bumps on the face These harmless spots are called milia They disappear on their own within a few weeks Another condition that might be mistaken for baby acne is benign cephalic pustulosis (BCP) also called neonatal cephalic pustulosis A bad reaction to yeast on the skin causes BCP None of these conditions is caused by the type of bacterium that causes acne in teens and adults
Back pain,Back pain can range from a muscle aching to a shooting burning or stabbing sensation Also the pain can radiate down a leg Bending twisting lifting standing or walking can make it worse
Bacterial vaginosis,"Symptoms of bacterial vaginosis include: Thin vaginal discharge that may be gray white or green Foul-smelling ""fishy"" vaginal odor Vaginal itching Burning during urination Many people with bacterial vaginosis have no symptoms"
Bad breath,Bad breath odors vary depending on the cause Some people worry too much about their breath even though they have little or no mouth odor Others have bad breath and don't know it Because it's hard to know how your breath smells ask a close friend or relative to confirm if you have bad breath
Bags under eyes,Symptoms of bags under eyes can include: Mild swelling Saggy or loose skin Dark circles
Baker cyst,In some cases a Baker cyst causes no pain and you may not notice it If you do have symptoms they might include: Swelling behind the knee and sometimes in the leg Knee pain Stiffness and inability to fully flex the knee The symptoms may be worse after you've been active or if you've been standing for a long time
Balance problems,Signs and symptoms of balance problems include: Sense of motion or spinning (vertigo) Feeling of faintness or lightheadedness (presyncope) Loss of balance or unsteadiness Falling or feeling like you might fall Feeling a floating sensation or dizziness Vision changes such as blurriness Confusion Request an appointment There is a problem with information submitted for this request Review/update the information highlighted below and resubmit the form From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements health tips current health topics and expertise on managing health Click here for an email preview Email Address 1 ErrorEmail field is required ErrorInclude a valid email address Learn more about Mayo Clinic’s use of data To provide you with the most relevant and helpful information and understand which information is beneficial we may combine your email and website usage information with other information we have about you If you are a Mayo Clinic patient this could include protected health information If we combine this information with your protected health information we will treat all of that information as protected health information and will only use or disclose that information as set forth in our notice of privacy practices You may opt-out of email communications at any time by clicking on the unsubscribe link in the e-mail Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox Sorry something went wrong with your subscription Please try again in a couple of minutes Retry
Barrett's esophagus,The development of Barrett's esophagus is most often attributed to long-standing GERD which may include these signs and symptoms: Frequent heartburn and regurgitation of stomach contents Difficulty swallowing food Less commonly chest pain Curiously approximately half of the people diagnosed with Barrett's esophagus report little if any symptoms of acid reflux So you should discuss your digestive health with your doctor regarding the possibility of Barrett's esophagus
Bartholin's cyst,Symptoms If you have a small noninfected Bartholin's cyst you may not notice it If the cyst grows you might feel a lump or mass near your vaginal opening Although a cyst is usually painless it can be tender A full-blown infection of a Bartholin's cyst can occur in a matter of days If the cyst becomes infected you may experience: A tender painful lump near the vaginal opening Discomfort while walking or sitting Pain during intercourse Fever A Bartholin's cyst or abscess typically occurs on only one side of the vaginal opening
Basal cell carcinoma,Symptoms Basal cell carcinoma usually develops on sun-exposed parts of your body especially your head and neck Less often basal cell carcinoma can develop on parts of your body usually protected from the sun such as the genitals Basal cell carcinoma appears as a change in the skin such as a growth or a sore that won't heal These changes in the skin (lesions) usually have one of the following characteristics: A shiny skin-colored bump that's translucent meaning you can see a bit through the surface The bump can look pearly white or pink on white skin On brown and Black skin the bump often looks brown or glossy black Tiny blood vessels might be visible though they may be difficult to see on brown and Black skin The bump may bleed and scab over A brown black or blue lesion — or a lesion with dark spots — with a slightly raised translucent border A flat scaly patch with a raised edge Over time these patches can grow quite large A white waxy scar-like lesion without a clearly defined border
Bedbugs,Bedbug bites Enlarge image Close Bedbug bites Bedbug bites It can be difficult to tell bedbug bites from other types of insect bites However they are typically itchy and they may appear clustered or lined up in rough rows Symptoms of bedbug bites are similar to symptoms of other insect bites and rashes Bedbug bites are usually: Inflamed spots often with a darker spot in the middle Itchy Arranged in a rough line or in a cluster Located on the face neck arms and hands Some people have no reaction to bedbug bites while others experience an allergic reaction that can include severe itching blisters or hives
Bedsores (pressure ulcers),Symptoms of bedsores are: Changes in skin color or texture Swelling Pus-like draining An area of skin that feels cooler or warmer to the touch than other areas Sore areas Bedsores fall into one of several stages based on their depth how serious they are and other features The degree of skin and tissue damage ranges from inflamed unbroken skin to a deep injury involving muscle and bone
Bed-wetting,Most kids are fully toilet trained by age 5 but there's really no target date for having complete bladder control Between the ages of 5 and 7 bed-wetting remains a problem for some children After 7 years of age a small number of children still wet the bed
Bee sting,Bee stings can produce different reactions ranging from temporary pain and discomfort to a severe allergic reaction Having one type of reaction doesn't mean you'll always have the same reaction every time you're stung or that the next reaction will necessarily be more severe
Behcet's disease,Behcet's disease symptoms vary from person to person can come and go or become less severe over time Signs and symptoms depend on which parts of your body are affected Areas commonly affected by Behcet's disease include: Mouth Painful mouth sores that look similar to canker sores are the most common sign of Behcet's disease They begin as raised round lesions in the mouth that quickly turn into painful ulcers The sores usually heal in one to three weeks though they do recur Skin Some people develop acnelike sores on their bodies Others develop red raised and tender nodules on their skin especially on the lower legs Genitals Red open sores can occur on the scrotum or the vulva The sores are usually painful and can leave scars Eyes Inflammation in the eye (uveitis) causes redness pain and blurred vision typically in both eyes In people with Behcet's disease the condition can come and go Joints Joint swelling and pain often affect the knees in people with Behcet's disease The ankles elbows or wrists also might be involved Signs and symptoms can last one to three weeks and go away on their own Blood vessels Inflammation in veins and arteries can cause redness pain and swelling in the arms or legs when a blood clot results Inflammation in the large arteries can lead to complications such as aneurysms and narrowing or blockage of the vessel Digestive system A variety of signs and symptoms can affect the digestive system including abdominal pain diarrhea and bleeding Brain Inflammation in the brain and nervous system can cause headache fever disorientation poor balance or stroke
Bell's palsy,Facial paralysis Enlarge image Close Facial paralysis Facial paralysis The nerve that controls facial muscles passes through a narrow corridor of bone on its way to the face Facial weakness or paralysis may cause one corner of the mouth to droop and the mouth may not be able to retain saliva on the paralyzed side of the face The condition also may make it difficult to close the eye on the affected side of the face Symptoms of Bell's palsy come on suddenly and may include: Mild weakness to total paralysis on one side of the face — occurring within hours to days Facial droop and trouble making facial expressions such as closing an eye or smiling Drooling Pain around the jaw or pain in or behind the ear on the affected side Increased sensitivity to sound on the affected side Headache Loss of taste Changes in the amount of tears and saliva produced Rarely Bell's palsy can affect the nerves on both sides of the face
Benign adrenal tumors,Symptoms depend on whether the tumor makes hormones what hormone it makes and how much it makes But many benign adrenal gland tumors don't cause symptoms because they don't make hormones The most common type of benign adrenal tumor called adenoma comes from the adrenal cortex This type of tumor might cause symptoms such as: Weight gain Easy bruising High blood pressure also called hypertension Diabetes Depressed mood Tiredness Muscle weakness or cramping A type of benign adrenal tumor from the medulla is called pheochromocytoma It might cause the following symptoms: High blood pressure also called hypertension Fast heartbeat Sweating Tremors Headache
Benign paroxysmal positional vertigo (BPPV),The signs and symptoms of benign paroxysmal positional vertigo (BPPV) may include: Dizziness A sense that you or your surroundings are spinning or moving (vertigo) A loss of balance or unsteadiness Nausea Vomiting The signs and symptoms of BPPV can come and go and commonly last less than one minute Episodes of BPPV can disappear for some time and then recur Activities that bring about the signs and symptoms of BPPV can vary from person to person but are almost always brought on by a change in head position Some people also feel out of balance when standing or walking Abnormal rhythmic eye movements usually accompany the symptoms of benign paroxysmal positional vertigo
Benign peripheral nerve tumor,A benign peripheral nerve tumor can cause symptoms if it presses on the nerve in which it is growing or on nearby nerves blood vessels or tissues As the tumor grows it may be more likely to cause symptoms but even small tumors can sometimes cause symptoms Symptoms depend on the location of the tumor and which tissues it affects Symptoms may include: Swelling or a lump under your skin Pain tingling or numbness Weakness or loss of function in the affected area Dizziness or loss of balance
Benign prostatic hyperplasia (BPH),Common symptoms of BPH include: Frequent or urgent need to pee also called urination Peeing more often at night Trouble starting to pee Weak urine stream or a stream that stops and starts Dribbling at the end of urination Not being able to fully empty the bladder Less common symptoms include: Urinary tract infection Not being able to pee Blood in the urine The symptoms of BPH tend to slowly get worse But sometimes they stay the same or even improve over time The size of the prostate doesn't always determine how serious the symptoms are Some people with slightly enlarged prostates can have major symptoms Others who have very enlarged prostates can have minor problems And some people with enlarged prostates don't have any symptoms at all
Bicuspid aortic valve,
Bile reflux,Symptoms Bile reflux can be difficult to distinguish from gastric acid reflux The signs and symptoms are similar and the two conditions may occur at the same time Bile reflux signs and symptoms include: Upper abdominal pain that may be severe Frequent heartburn — a burning sensation in your chest that sometimes spreads to your throat along with a sour taste in your mouth Nausea Vomiting a greenish-yellow fluid (bile) Occasionally a cough or hoarseness Unintended weight loss
Binge-eating disorder,If you have binge-eating disorder you may be overweight or obese or you may be at a healthy weight Most people with binge-eating disorder feel upset about their body size or shape no matter what the number on the scale is Symptoms of binge-eating disorder vary but can include: Feeling that you don't have control over your eating behavior for example you can't stop once you start Often eating much larger than usual amounts of food in a specific amount of time such as over a two-hour period Eating even when you're full or not hungry Eating very fast during eating binges Eating until you're uncomfortably full Often eating alone or in secret Feeling depressed disgusted ashamed guilty or upset about your eating A person with bulimia nervosa another eating disorder may binge and then vomit use laxatives or exercise excessively to get rid of extra calories This is not the case with binge-eating disorder If you have binge-eating disorder you may try to diet or eat less food at mealtimes to compensate But restricting your diet may simply lead to more binge eating How much eating binges affect your mood and ability to function in daily life gives an idea of how serious the condition is for you Binge-eating disorder can vary over time The condition may be short-lived may go away and come back or may continue for years if left untreated
Bipolar disorder,There are several types of bipolar and related disorders: Bipolar I disorder You've had at least one manic episode that may come before or after hypomanic or major depressive episodes In some cases mania may cause a break from reality This is called psychosis Bipolar II disorder You've had at least one major depressive episode and at least one hypomanic episode But you've never had a manic episode Cyclothymia You've had at least two years — or one year in children and teenagers — of many periods of hypomania symptoms and periods of depressive symptoms These symptoms are less severe than major depression Other types These types include bipolar and related disorders caused by certain drugs or alcohol or due to a medical condition such as Cushing's disease multiple sclerosis or stroke These types may include mania or hypomania which is less extreme than mania and depression Symptoms can cause changes in mood and behavior that can't be predicted This can lead to a lot of distress and cause you to have a hard time in life Bipolar II disorder is not a milder form of bipolar I disorder It's a separate diagnosis While the manic episodes of bipolar I disorder can be severe and dangerous people with bipolar II disorder can be depressed for longer periods of time Bipolar disorder can start at any age but usually it's diagnosed in the teenage years or early 20s Symptoms can differ from person to person and symptoms may vary over time
Bird flu (avian influenza),Bird flu symptoms can be mild to serious in a person Symptoms typically show up within seven days of contact with the virus but can take as long as two weeks A person can get infected from direct contact with an infected animal or the bedding or stool of the animal Flu viruses have similar symptoms So you need to be tested to check if you have a bird flu infection Common bird flu symptoms include: Fever Problems breathing Pink eye also called conjunctivitis Upset stomach and vomiting Loose stool called diarrhea Bird flu may cause breathing problems more often than other kinds of flu And during bird flu pandemics the risk that a person with flu will need a machine to help them breathe is higher
Black hairy tongue,Symptoms of black hairy tongue include: Black color of the tongue but the color may be brown green yellow or white A hairy or furry look to the tongue Changed taste or a metallic taste in your mouth Bad breath Gagging or tickling feeling in your mouth if the papillae are very large Rarely a burning feeling on the tongue if hairy black tongue is caused by a yeast or bacterial infection
Bladder cancer,Bladder cancer signs and symptoms may include: Blood in urine (hematuria) which may cause urine to appear bright red or cola colored though sometimes the urine appears normal and blood is detected on a lab test Frequent urination Painful urination Back pain
Bladder exstrophy,Bladder exstrophy is the most common in the larger group of birth defects called the bladder exstrophy-epispadias complex (BEEC) Children with BEEC have one of the following: Epispadias This is the least severe form of BEEC in which the tube to expel urine (urethra) doesn't fully develop Bladder exstrophy This defect causes the bladder to form on the outside of the body The bladder is also turned inside out Usually bladder exstrophy will involve organs of the urinary tract as well as the digestive and reproductive systems Defects of the abdominal wall bladder genitals pelvic bones final section of the large intestine (rectum) and opening at the end of the rectum (anus) can occur Children with bladder exstrophy also have vesicoureteral reflux This condition causes urine to flow the wrong way — from the bladder back up into the tubes that connect to the kidneys (ureters) Children with bladder exstrophy also have epispadias Cloacal exstrophy Cloacal exstrophy (kloe-A-kul EK-stroh-fee) is the most serious form of BEEC In this condition the rectum bladder and genitals don't fully separate as the fetus develops These organs may not be correctly formed and the pelvic bones are affected as well The kidneys backbone and spinal cord also may be affected Most children with cloacal exstrophy have spinal abnormalities including spina bifida Children born with protruding abdominal organs probably also have cloacal exstrophy or bladder exstrophy Request an appointment
Bladder stones,Symptoms Sometimes bladder stones — even large ones — cause no problems But if a stone irritates the bladder wall or blocks the flow of urine signs and symptoms may include: Lower abdominal pain Pain during urination Frequent urination Difficulty urinating or interrupted urine flow Blood in the urine Cloudy or unusually dark-colored urine
Blastocystis hominis,Symptoms Signs and symptoms possibly associated with blastocystis include: Watery diarrhea Nausea Abdominal pain Bloating Excessive gas Loss of appetite Weight loss Anal itching Fatigue
Blepharitis,Symptoms Blepharitis signs and symptoms are typically worse in the morning They include: Watery eyes Red eyes A gritty burning or stinging sensation in the eyes Eyelids that appear greasy Itchy eyelids Red swollen eyelids Flaking of the skin around the eyes Crusted eyelashes Eyelid sticking More frequent blinking Sensitivity to light Blurred vision that usually improves with blinking
Blocked tear duct,Symptoms Symptoms of a blocked tear duct include: Excessive tearing Redness of the white part of the eye Recurrent eye infection or inflammation known as pink eye Painful swelling near the inside corner of the eye Crusting of the eyelids Mucus or pus discharge from the lids and surface of the eye Blurred vision
Blood in urine (hematuria),Blood in the urine can look pink red or cola-colored Red blood cells cause the urine to change color It takes only a small amount of blood to turn urine red The bleeding often isn't painful But if blood clots get passed in the urine that can hurt
Body dysmorphic disorder,Signs and symptoms of body dysmorphic disorder include: Being extremely preoccupied with a perceived flaw in appearance that to others can't be seen or appears minor Strong belief that you have a defect in your appearance that makes you ugly or deformed Belief that others take special notice of your appearance in a negative way or mock you Engaging in behaviors aimed at fixing or hiding the perceived flaw that are difficult to resist or control such as frequently checking the mirror grooming or skin picking Attempting to hide perceived flaws with styling makeup or clothes Constantly comparing your appearance with others Frequently seeking reassurance about your appearance from others Having perfectionist tendencies Seeking cosmetic procedures with little satisfaction Avoiding social situations Preoccupation with your appearance and excessive thoughts and repetitive behaviors can be unwanted difficult to control and so time-consuming that they can cause major distress or problems in your social life work school or other areas of functioning You may excessively focus over one or more parts of your body The bodily feature that you focus on may change over time The most common features people tend to fixate about include: Face such as nose complexion wrinkles acne and other blemishes Hair such as appearance thinning and baldness Skin and vein appearance Breast size Muscle size and tone Genitalia A preoccupation with your body build being too small or not muscular enough (muscle dysmorphia) occurs almost exclusively in males Insight about body dysmorphic disorder varies You may recognize that your beliefs about your perceived flaws may be excessive or not be true or think that they probably are true or be absolutely convinced that they're true The more convinced you are of your beliefs the more distress and disruption you may experience in your life
Body lice,Symptoms Body lice bites can cause intense itching and you may notice small areas of blood and crust on your skin at the site of the bite marks See your doctor if improved hygiene doesn't remove the infestation or if you develop a skin infection from scratching the bites
Boils and carbuncles,Symptoms Boils Boils can occur anywhere on your skin but appear mainly on the face back of the neck armpits thighs and buttocks — hair-bearing areas where you're most likely to sweat or experience friction Signs and symptoms of a boil usually include: A painful red bump that starts out small and can enlarge to more than 2 inches (5 centimeters) Reddish or purplish swollen skin around the bump An increase in the size of the bump over a few days as it fills with pus Development of a yellow-white tip that eventually ruptures and allows the pus to drain out Carbuncles A carbuncle is a cluster of boils that form a connected area of infection Compared with single boils carbuncles cause a deeper and more severe infection and are more likely to leave a scar People who have a carbuncle often feel unwell in general and may experience a fever and chills
Bone cancer,Signs and symptoms of bone cancer include: Bone pain Swelling and tenderness near the affected area Weakened bone which can lead to a broken bone Feeling very tired Losing weight without trying
Bone metastasis,Symptoms Sometimes bone metastasis causes no signs and symptoms When it does occur signs and symptoms of bone metastasis include: Bone pain Broken bones Urinary incontinence Bowel incontinence Weakness in the legs or arms High levels of calcium in the blood (hypercalcemia) which can cause nausea vomiting constipation and confusion
Bone spurs,Osteoarthritis of the hip Enlarge image Close Osteoarthritis of the hip Osteoarthritis of the hip The hip joint shown on the left side of the image is healthy But the hip joint shown on the right side of the image shows the wearing away of cartilage and the formation of bone spurs due to osteoarthritis Bone spurs on spine Enlarge image Close Bone spurs on spine Bone spurs on spine In osteoarthritis of the spine disks narrow and bone spurs form Often bone spurs don't cause symptoms You might not know you have bone spurs until an X-ray for another condition reveals the growths But sometimes bone spurs can cause pain and loss of motion in your joints The symptoms depend on where the bone spurs are Examples include: Knee Bone spurs in the knee can make it painful to extend and bend the leg Spine On the small bones that form the spine bone spurs can narrow the space that contains the spinal cord These bone spurs can pinch the spinal cord or its nerve roots That can cause weakness or numbness in the arms or legs Hip Bone spurs can make it painful to move the hip Sometimes it might feel like the pain is in the knee or the thigh Depending on their placement bone spurs can reduce the range of motion in the hip joint
Borderline personality disorder,Borderline personality disorder affects how you feel about yourself relate to others and behave Symptoms may include: A strong fear of abandonment This includes going to extreme measures so you're not separated or rejected even if these fears are made up A pattern of unstable intense relationships such as believing someone is perfect one moment and then suddenly believing the person doesn't care enough or is cruel Quick changes in how you see yourself This includes shifting goals and values as well as seeing yourself as bad or as if you don't exist Periods of stress-related paranoia and loss of contact with reality These periods can last from a few minutes to a few hours Impulsive and risky behavior such as gambling dangerous driving unsafe sex spending sprees binge eating drug misuse or sabotaging success by suddenly quitting a good job or ending a positive relationship Threats of suicide or self-injury often in response to fears of separation or rejection Wide mood swings that last from a few hours to a few days These mood swings can include periods of being very happy irritable or anxious or feeling shame Ongoing feelings of emptiness Inappropriate strong anger such as losing your temper often being sarcastic or bitter or physically fighting
Botulism,
Brachial plexus injury,Types of nerve damage Enlarge image Close Types of nerve damage Types of nerve damage Part of the spine (on left) shows how nerve roots connect to the spinal cord The most serious types of nerve injuries are an avulsion (A) where the nerve roots are torn away from the spinal cord and rupture (C) where the nerve is torn into two pieces A less serious injury is stretching (B) of the nerve fibers Symptoms of a brachial plexus injury can differ depending on how serious the injury is and where it's located Usually only one arm is affected
Bradycardia,A slower than typical heartbeat (bradycardia) can prevent the brain and other organs from getting enough oxygen possibly causing these signs and symptoms: Chest pain Confusion or memory problems Dizziness or lightheadedness Easily tiring during physical activity Fatigue Fainting (syncope) or near-fainting Shortness of breath
Brain aneurysm,Most brain aneurysms that haven't ruptured don't cause symptoms This is especially true if they're small Brain aneurysms may be found during imaging tests that are done for other conditions However a ruptured aneurysm is a very serious condition typically causing a severe headache And if an unruptured aneurysm presses against brain tissue or nerves it may cause pain and other symptoms
Brain AVM (arteriovenous malformation),A brain arteriovenous malformation (AVM) may not cause any symptoms until the AVM bursts and bleeds known as a hemorrhage In about half of all brain AVMs a hemorrhage is the first sign of the malformation But some people with brain AVMs may experience symptoms other than bleeding such as: Seizures Headaches or pain in one area of the head Muscle weakness or numbness in one part of the body Some people may experience more-serious symptoms depending on the location of the AVM including: A very bad headache Weakness numbness or paralysis Vision loss Trouble speaking Confusion or not being able to understand others Trouble with walking Symptoms of a brain AVM may begin at any age but usually appear between ages 10 and 40 Brain AVMs can damage brain tissue over time The effects slowly build and often cause symptoms in early adulthood By middle age however brain AVMs tend to remain stable and are less likely to cause symptoms
Brain metastases,Signs and symptoms caused by brain metastases can vary based on the location size and rate of growth of the metastatic tumors Signs and symptoms of brain metastases include: Headache sometimes with vomiting or nausea Mental changes such as increasing memory problems Seizures Weakness or numbness on one side of the body
